transactionid,date_booked,time,roomid,guestid,date_out,totalpaidbyguest,employeeid
1,"Wednesday, March 20, 2013",,1,3,3/19/2013,19600,
2,"Wednesday, March 20, 2013",,7,3,3/19/2013,19600,
3,"Wednesday, March 20, 2013",,3,3,3/19/2013,19600,
4,"Tuesday, March 12, 2013",,7,15,3/20/2013,40000,
5,"Tuesday, March 12, 2013",,3,15,3/20/2013,40000,
6,"Saturday, March 09, 2013",,8,10,3/9/2013,12000,2
7,"Saturday, March 09, 2013",1362892126,5,9,"Saturday, March 09, 2013",5000,2
8,"Tuesday, March 12, 2013",1362912412,1,1,"Thursday, March 14, 2013",37200,2
9,"Tuesday, March 12, 2013",1362912412,7,1,"Thursday, March 14, 2013",37200,2
10,"Tuesday, March 12, 2013",1362912412,4,1,"Thursday, March 14, 2013",37200,2
11,"Sunday, March 10, 2013",1362912090,1,7,"Sunday, March 10, 2013",3880,2
12,"Sunday, March 10, 2013",1362912090,2,7,"Sunday, March 10, 2013",3880,2
13,"Sunday, March 10, 2013",1362912264,21,2,"Wednesday, March 13, 2013",18000,2
14,"Sunday, March 10, 2013",1362912264,22,2,"Wednesday, March 13, 2013",18000,2
15,"Sunday, March 10, 2013",1362912339,23,4,"Monday, March 11, 2013",3000,2
